@relation ASSIGNMENT3-AASL

@attribute itPosition numeric
@attribute sentenceLength numeric
@attribute punctuationCount numeric
@attribute precedingNPs numeric
@attribute succedingNPs numeric 
@attribute immediatelyFollowsPP numeric
@attribute neighborPOSTags1 string
@attribute neighborPOSTags2 string
@attribute neighborPOSTags3 string
@attribute neighborPOSTags4 string
@attribute neighborPOSTags5 string
@attribute neighborPOSTags6 string
@attribute neighborPOSTags7 string
@attribute neighborPOSTags8 string
@attribute followedByIngVerb numeric
@attribute followedByPreposition numeric
@attribute adjectivesAfterCount numeric
@attribute verbBefore numeric
@attribute verbAfter numeric
@attribute adjectivesAfter numeric
@attribute nounPhraseWithAdjectiveAfter numeric
@attribute tokensBeforeNextVerbInf numeric
@attribute tokensBetweenItAndPreposition numeric
@attribute itImmediatelyFollowedByAdjNounPhrase numeric
@attribute dependencyToClosest string
@attribute followedByWeatherVerb numeric
@attribute followedByCognitiveVerb numeric
@attribute class {NOMANAPH, CLAUSEANAPH}

@data
2,12,3,0,1,0,ABS,ABS,ABS,ADV,VERB,VERB,PUNCT,VERB,0,0,1,0,1,1,1,0,0,0,nsubjpass,0,0,NOMANAPH
6,8,2,2,0,0,ADP,NOUN,NOUN,PUNCT,VERB,PUNCT,ABS,ABS,0,0,0,0,1,0,0,0,0,0,nsubj,0,1,NOMANAPH
8,9,1,1,0,0,ADV,ADJ,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
6,15,2,1,2,0,PUNCT,PRON,VERB,ADP,VERB,VERB,DET,NOUN,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
7,14,1,2,2,0,DET,NOUN,CONJ,VERB,ADP,DET,NOUN,ADP,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
6,7,1,1,0,1,PROPN,PROPN,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
8,9,1,3,0,1,PRON,ADP,ADJ,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_about,0,0,NOMANAPH
4,11,1,1,1,0,PUNCT,VERB,PRON,VERB,ADV,ADV,ADP,DET,0,1,0,1,0,0,0,0,2,0,dobj,0,0,NOMANAPH
5,7,1,1,1,0,VERB,PRON,ADV,VERB,PRON,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,iobj,0,0,NOMANAPH
6,19,1,1,2,0,PRON,ADV,VERB,ADP,VERB,DET,ADJ,NOUN,0,1,3,1,1,1,1,0,4,0,nsubj,0,1,NOMANAPH
4,8,1,1,1,0,PUNCT,VERB,PRON,VERB,VERB,DET,NOUN,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
7,10,1,2,1,0,VERB,PRON,VERB,VERB,ADP,PRON,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
2,30,1,0,9,0,ABS,ABS,ABS,VERB,ADV,VERB,PRON,ADP,0,1,2,1,1,1,1,27,3,0,nsubj,0,0,NOMANAPH
21,30,1,7,2,1,VERB,DET,NOUN,ADP,ADP,DET,ADJ,NOUN,0,1,1,1,1,1,1,27,0,0,prep_of,0,0,NOMANAPH
14,15,2,3,0,1,DET,VERB,ADV,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_in,0,0,NOMANAPH
4,9,1,0,1,0,PUNCT,VERB,ADV,VERB,VERB,VERB,ADP,PRON,0,1,0,1,1,0,0,0,2,0,nsubjpass,0,0,NOMANAPH
3,7,1,1,1,0,ABS,ABS,PROPN,VERB,ADP,ADJ,NOUN,PUNCT,0,1,1,1,0,1,1,0,0,0,dobj,0,0,NOMANAPH
23,50,5,7,7,0,X,NOUN,PUNCT,CONJ,VERB,VERB,PUNCT,PROPN,0,1,0,1,1,0,0,0,6,0,nsubjpass,0,0,NOMANAPH
48,50,5,14,0,0,PRON,VERB,ADV,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
4,20,2,1,5,0,PUNCT,PROPN,PROPN,VERB,VERB,PUNCT,CONJ,PRON,1,1,0,1,1,0,0,0,6,0,nsubj,0,1,NOMANAPH
19,20,2,6,0,1,DET,VERB,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_in,0,0,NOMANAPH
4,8,1,1,1,0,PUNCT,PROPN,VERB,VERB,ADP,DET,NOUN,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
30,39,4,8,2,0,PUNCT,ADV,ADP,VERB,ADP,DET,NOUN,ADP,0,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
7,10,1,1,0,0,NOUN,VERB,ADP,VERB,ADV,ADV,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
19,24,3,5,0,0,NOUN,PUNCT,CONJ,VERB,ADP,ADV,CONJ,ADV,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
17,20,3,4,0,0,NOUN,NOUN,PUNCT,VERB,ADP,ADV,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
11,17,3,2,1,0,VERB,VERB,ADP,VERB,PUNCT,ADV,VERB,PRON,1,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
11,21,4,3,2,0,DET,NOUN,PUNCT,ADV,VERB,VERB,ADP,DET,0,1,0,1,1,0,0,0,2,0,nsubjpass,0,0,NOMANAPH
2,8,1,0,1,0,ABS,ABS,ABS,ADP,VERB,ADP,DET,ADV,0,1,1,0,1,1,1,0,1,0,nsubj,0,0,NOMANAPH
13,14,3,3,0,1,VERB,DET,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
2,16,2,0,4,0,ABS,ABS,ABS,VERB,VERB,DET,ADJ,ADJ,0,1,3,1,1,1,1,0,4,0,nsubj,0,0,NOMANAPH
11,16,2,3,1,0,ADP,PRON,NOUN,PUNCT,VERB,ADJ,ADP,PROPN,0,1,1,1,1,1,1,0,2,0,nsubj,0,0,NOMANAPH
24,36,9,5,2,1,PROPN,ADP,VERB,ADP,PUNCT,CONJ,PUNCT,ADP,0,1,1,1,1,1,1,0,3,0,prep_for,0,0,NOMANAPH
5,6,1,1,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
5,15,3,1,2,0,PRON,VERB,ADV,VERB,VERB,PUNCT,ADP,PRON,0,1,1,1,1,1,1,0,2,0,nsubj,0,1,NOMANAPH
15,41,8,3,7,0,DET,NOUN,PUNCT,CONJ,VERB,DET,ADJ,NOUN,1,1,1,1,1,1,1,0,5,0,nsubj,0,0,NOMANAPH
26,41,8,7,3,1,PUNCT,DET,NOUN,ADP,VERB,ADV,PUNCT,PRON,1,1,0,1,1,0,0,0,11,0,prep_of,0,0,NOMANAPH
30,41,8,8,2,0,PRON,VERB,ADV,PUNCT,VERB,ADV,PUNCT,CONJ,0,1,0,1,1,0,0,0,7,0,nsubj,0,0,NOMANAPH
4,37,5,1,8,0,PUNCT,PUNCT,PRON,VERB,ADV,PUNCT,CONJ,ADV,1,1,2,1,1,1,1,0,7,0,dobj,0,0,NOMANAPH
15,21,2,4,1,0,VERB,VERB,ADP,VERB,ADV,PUNCT,CONJ,ADP,0,1,0,1,0,0,0,0,3,0,dobj,0,0,NOMANAPH
12,14,1,4,0,0,ADP,PRON,VERB,VERB,ADP,PUNCT,ABS,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
10,16,2,3,0,0,PRON,NOUN,PUNCT,VERB,ADV,ADV,VERB,CONJ,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
30,43,4,7,2,0,PRON,NOUN,ADP,VERB,VERB,VERB,PRON,NOUN,0,1,0,1,1,0,0,0,8,0,dobj,0,0,NOMANAPH
17,28,3,5,3,0,NOUN,PUNCT,CONJ,VERB,ADP,ADV,PUNCT,ADP,0,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
24,28,3,8,0,0,PUNCT,ADP,PRON,VERB,VERB,ADV,ADV,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
3,15,2,1,2,0,ABS,ABS,PRON,VERB,ADP,PUNCT,CONJ,VERB,1,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
13,15,2,3,0,0,ADP,DET,NOUN,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
13,17,2,3,1,0,NOUN,PUNCT,CONJ,VERB,ADP,ADP,PRON,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
3,20,2,1,6,0,ABS,ABS,PRON,VERB,ADP,PRON,PUNCT,CONJ,0,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
3,9,2,1,1,0,ABS,ABS,PRON,VERB,PUNCT,CONJ,VERB,PRON,0,0,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
7,9,2,2,0,0,PRON,PUNCT,CONJ,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
3,9,1,1,2,0,ABS,ABS,PRON,VERB,VERB,ADP,NOUN,DET,0,1,0,1,1,0,0,0,1,0,nsubj,0,0,NOMANAPH
17,18,2,4,0,1,DET,ADJ,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_from,0,0,NOMANAPH
3,8,1,1,1,0,ABS,ABS,PRON,VERB,ADP,ADP,DET,NOUN,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
16,23,3,4,2,1,VERB,PRON,NOUN,ADP,PUNCT,VERB,PRON,ADP,1,1,0,1,1,0,0,0,3,0,prep_on,0,0,NOMANAPH
19,23,3,5,1,0,ADP,PRON,PUNCT,VERB,ADP,DET,NOUN,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
7,23,2,2,4,0,NOUN,PUNCT,CONJ,VERB,ADP,DET,NOUN,ADP,0,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
22,23,2,6,0,0,ADV,PRON,VERB,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
12,17,2,3,1,0,NOUN,PUNCT,CONJ,VERB,ADP,PRON,ADP,VERB,0,1,0,1,1,0,0,14,0,0,dobj,0,0,NOMANAPH
3,12,2,1,2,0,ABS,ABS,PRON,VERB,ADP,ADP,PRON,NOUN,1,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
10,12,2,3,0,0,PRON,NOUN,PUNCT,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
11,21,2,2,1,0,PRON,NOUN,ADP,VERB,ADP,PUNCT,CONJ,VERB,0,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
12,17,2,2,1,0,DET,NOUN,PUNCT,VERB,ADP,DET,NOUN,VERB,0,1,0,1,1,0,0,0,0,0,dep,0,0,NOMANAPH
9,19,2,2,1,0,PRON,NOUN,PUNCT,VERB,ADV,ADV,VERB,ADV,1,1,0,1,1,0,0,15,5,0,nsubj,0,0,NOMANAPH
18,19,2,3,0,0,ADV,ADP,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
15,21,2,4,2,0,CONJ,PRON,ADV,VERB,DET,ADJ,ADP,NUM,0,1,1,1,0,1,1,0,2,0,iobj,0,0,NOMANAPH
8,9,1,1,0,1,VERB,ADP,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_for,0,0,NOMANAPH
5,6,1,1,0,0,ADV,VERB,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
11,15,3,1,1,0,PUNCT,PRON,VERB,VERB,ADP,PRON,NOUN,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
11,32,5,2,7,0,DET,NOUN,ADP,VERB,PUNCT,CONJ,NOUN,CONJ,1,1,2,1,1,1,1,0,12,0,dobj,0,0,NOMANAPH
17,32,5,4,5,0,CONJ,NOUN,CONJ,VERB,ADJ,NOUN,PUNCT,DET,1,1,2,1,1,1,1,0,6,1,dobj,0,0,NOMANAPH
13,17,3,3,0,0,NOUN,PUNCT,CONJ,VERB,ADP,VERB,VERB,PUNCT,0,1,0,1,1,0,0,13,0,0,dobj,0,0,NOMANAPH
8,9,1,2,0,0,ADP,PRON,VERB,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
9,10,1,2,0,0,ADP,PRON,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
29,36,4,6,1,0,VERB,ADV,ADV,ADP,VERB,VERB,ADV,DET,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
10,13,2,3,1,0,ADP,NOUN,PUNCT,CONJ,VERB,PRON,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
8,10,1,2,0,1,PRON,ADP,VERB,ADP,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_to,0,0,NOMANAPH
3,5,1,1,0,0,ABS,ABS,PRON,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
5,8,1,1,0,0,PRON,VERB,VERB,ADP,VERB,ADJ,PUNCT,ABS,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,NOMANAPH
10,24,4,2,2,0,VERB,PUNCT,NOUN,PUNCT,VERB,VERB,CONJ,PRON,0,1,0,1,1,0,0,0,7,0,nsubjpass,0,0,NOMANAPH
19,24,4,4,0,0,VERB,ADV,VERB,ADP,VERB,VERB,CONJ,ADV,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
6,10,3,1,1,0,PRON,VERB,PUNCT,CONJ,VERB,DET,NOUN,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
6,43,5,1,10,0,VERB,ADV,VERB,ADP,VERB,DET,NOUN,PUNCT,1,1,0,1,1,0,0,0,8,0,nsubj,0,0,NOMANAPH
19,43,5,5,6,0,ADP,NOUN,PUNCT,CONJ,VERB,NOUN,ADP,PRON,1,1,0,1,1,0,0,0,2,0,nsubj,0,0,NOMANAPH
23,43,5,7,4,1,PRON,VERB,NOUN,ADP,PUNCT,CONJ,PRON,VERB,1,1,0,1,1,0,0,0,5,0,prep_on,0,0,NOMANAPH
30,43,5,9,2,1,PRON,VERB,VERB,ADP,PUNCT,ADV,ADP,ADP,0,1,0,1,1,0,0,0,2,0,prep_at,0,0,NOMANAPH
3,5,1,1,0,0,ABS,ABS,PRON,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
3,17,3,1,3,0,ABS,ABS,PRON,VERB,VERB,ADV,VERB,PRON,0,1,0,1,1,0,0,0,10,0,nsubj,0,0,NOMANAPH
4,11,2,1,2,0,PUNCT,PRON,VERB,VERB,ADP,ADJ,PUNCT,ADV,0,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
9,11,2,3,0,0,ADP,ADJ,PUNCT,ADV,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
13,17,1,4,1,0,PRON,VERB,ADV,VERB,ADP,ADJ,NOUN,PUNCT,0,1,1,1,0,1,1,0,0,0,dep,0,0,NOMANAPH
6,9,1,1,0,0,VERB,ADP,VERB,ADP,VERB,VERB,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
4,43,3,1,12,0,PUNCT,PRON,VERB,VERB,ADJ,ADP,VERB,DET,0,1,3,1,1,1,1,5,1,0,nsubj,0,0,NOMANAPH
33,43,3,10,3,0,ADV,PUNCT,PROPN,PROPN,VERB,VERB,ADP,DET,0,1,0,1,1,0,0,0,2,0,nsubjpass,0,0,NOMANAPH
41,43,3,13,0,0,DET,NOUN,PRON,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
5,12,1,1,1,0,PRON,VERB,CONJ,VERB,VERB,ADV,VERB,ADP,0,1,0,1,1,0,0,0,3,0,nsubj,0,0,NOMANAPH
6,12,2,2,1,0,VERB,PROPN,PROPN,VERB,VERB,PUNCT,VERB,PROPN,0,0,0,1,1,0,0,0,0,0,nsubj,0,1,NOMANAPH
3,11,3,1,2,0,ABS,ABS,PRON,VERB,PUNCT,ADP,ADP,NOUN,0,1,0,1,0,0,0,0,1,0,dobj,0,0,NOMANAPH
5,6,1,1,0,1,PRON,VERB,ADV,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_for,0,0,NOMANAPH
10,18,4,3,0,0,PUNCT,PRON,VERB,ADJ,VERB,VERB,PUNCT,CONJ,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
4,49,4,1,14,0,PUNCT,PRON,ADV,VERB,ADV,PRON,VERB,DET,0,1,1,1,1,1,1,15,11,0,dobj,0,0,NOMANAPH
18,49,4,5,10,0,PRON,VERB,ADP,VERB,ADP,DET,NOUN,X,0,1,1,1,1,1,1,34,0,0,dobj,0,0,NOMANAPH
26,49,4,9,6,0,X,NOUN,PRON,VERB,ADP,ADV,PUNCT,CONJ,0,1,1,1,1,1,1,34,0,0,dobj,0,0,NOMANAPH
38,49,4,13,2,0,VERB,ADP,VERB,VERB,ADV,ADV,PUNCT,CONJ,0,1,1,1,1,1,1,44,6,0,dobj,0,0,NOMANAPH
3,7,2,1,1,0,ABS,ABS,PRON,VERB,ADP,PUNCT,INTJ,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
3,12,1,1,3,0,ABS,ABS,PRON,VERB,ADP,PRON,ADP,PRON,0,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
7,12,1,3,1,0,PRON,ADP,PRON,ADP,VERB,PRON,ADJ,NOUN,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,NOMANAPH
10,12,1,2,1,1,VERB,ADV,VERB,ADP,PRON,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
12,28,3,4,5,0,CONJ,VERB,PRON,VERB,ADV,ADP,PRON,NOUN,0,1,2,1,1,1,1,0,1,0,dobj,0,0,NOMANAPH
7,30,4,1,5,0,VERB,PUNCT,VERB,ADP,VERB,VERB,PUNCT,CONJ,0,1,0,1,1,0,0,0,19,0,nsubjpass,0,0,NOMANAPH
16,30,4,3,3,0,PRON,VERB,ADV,VERB,PUNCT,CONJ,PRON,VERB,0,1,0,1,1,0,0,0,10,0,dobj,0,0,NOMANAPH
5,8,1,2,0,0,PRON,VERB,PRON,VERB,ADP,ADV,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
5,6,1,1,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
20,28,2,7,3,0,PRON,VERB,PRON,VERB,ADP,NOUN,ADP,PROPN,0,1,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
26,28,2,10,0,0,NOUN,ADP,PROPN,PROPN,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
5,9,1,1,1,0,PRON,VERB,VERB,VERB,ADV,ADP,PRON,PUNCT,0,1,0,1,0,0,0,0,1,0,dobj,0,0,NOMANAPH
10,11,1,3,0,1,VERB,VERB,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
3,21,1,1,6,0,ABS,ABS,PRON,VERB,ADP,VERB,DET,NOUN,1,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
3,9,1,1,2,0,ABS,ABS,PRON,VERB,VERB,DET,NOUN,ADP,0,1,0,1,1,0,0,0,3,0,nsubj,0,0,NOMANAPH
16,19,1,4,1,0,PRON,VERB,ADV,VERB,ADP,DET,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
4,10,1,2,2,0,PUNCT,PRON,VERB,PRON,VERB,ADV,PRON,PRON,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
8,18,2,2,1,0,DET,NOUN,PUNCT,CONJ,VERB,PRON,ADP,VERB,1,1,1,1,1,1,1,0,2,0,nsubj,0,1,NOMANAPH
6,9,1,1,1,0,VERB,ADV,ADJ,ADP,VERB,PROPN,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
5,13,2,2,1,0,PROPN,PRON,VERB,VERB,PUNCT,CONJ,PRON,VERB,0,1,1,1,1,1,1,9,4,0,dobj,0,0,NOMANAPH
34,52,4,8,5,0,CONJ,VERB,VERB,VERB,ADV,PUNCT,CONJ,ADP,1,1,0,1,1,0,0,0,3,0,dobj,0,0,NOMANAPH
51,52,4,13,0,0,ADV,VERB,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
4,6,1,1,0,0,PUNCT,PRON,VERB,VERB,ADP,PUNCT,ABS,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
4,7,1,1,1,0,PUNCT,PRON,VERB,VERB,ADP,PROPN,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
7,11,2,2,1,0,PRON,VERB,VERB,VERB,ADV,PUNCT,NOUN,PUNCT,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
4,6,1,1,0,0,PUNCT,CONJ,PRON,VERB,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
7,8,1,2,0,0,VERB,PRON,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
15,28,3,3,3,0,NOUN,PUNCT,CONJ,VERB,ADV,PUNCT,PRON,VERB,0,1,1,1,1,1,1,0,9,0,dobj,0,0,NOMANAPH
18,28,3,4,2,0,VERB,PRON,ADV,PUNCT,VERB,VERB,VERB,DET,0,1,1,1,1,1,1,0,6,0,nsubj,0,0,NOMANAPH
6,18,2,1,4,0,PROPN,PROPN,VERB,VERB,PUNCT,PRON,VERB,VERB,0,1,1,1,1,1,1,12,6,0,dobj,0,0,NOMANAPH
15,18,2,4,1,0,ADJ,NOUN,ADP,VERB,ADP,ADV,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
11,12,2,3,0,0,NOUN,PUNCT,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
7,11,1,1,0,0,VERB,CONJ,VERB,ADP,VERB,ADV,ADV,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
11,18,3,3,2,0,PROPN,PROPN,VERB,VERB,DET,ADJ,NOUN,PUNCT,0,0,1,1,0,1,1,0,0,0,dobj,0,0,NOMANAPH
8,16,1,2,2,0,VERB,ADV,ADJ,ADP,VERB,VERB,DET,ADJ,0,1,1,1,1,1,1,0,4,0,nsubjpass,0,0,NOMANAPH
5,9,2,1,1,0,ADP,ADJ,NOUN,PUNCT,VERB,NOUN,NOUN,PUNCT,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
20,21,2,5,0,1,VERB,VERB,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_with,0,0,NOMANAPH
6,7,2,1,0,0,DET,NOUN,PUNCT,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
1,10,1,0,3,0,ABS,ABS,ABS,ABS,VERB,NOUN,ADP,PRON,0,1,0,0,1,0,0,0,2,0,nsubj,0,1,NOMANAPH
1,14,1,0,3,0,ABS,ABS,ABS,ABS,VERB,ADV,ADP,DET,0,1,0,0,1,0,0,0,2,0,nsubj,0,1,NOMANAPH
1,23,2,0,4,0,ABS,ABS,ABS,ABS,VERB,VERB,VERB,ADP,0,1,1,0,1,1,1,0,3,0,nsubjpass,0,0,NOMANAPH
1,8,1,0,0,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,VERB,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
1,6,0,0,1,0,ABS,ABS,ABS,ABS,ADV,VERB,ADV,DET,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
1,7,1,0,1,0,ABS,ABS,ABS,ABS,VERB,DET,ADV,ADJ,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,NOMANAPH
1,7,1,0,2,0,ABS,ABS,ABS,ABS,VERB,DET,NOUN,ADP,0,1,0,0,1,0,0,0,3,0,nsubj,0,1,NOMANAPH
1,6,1,0,0,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,ADV,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
1,9,1,0,2,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,PRON,0,1,1,0,1,1,1,0,4,0,nsubj,0,0,NOMANAPH
1,15,3,0,3,0,ABS,ABS,ABS,ABS,VERB,ADV,NOUN,PUNCT,1,1,0,0,1,0,0,0,11,0,nsubj,0,0,NOMANAPH
1,46,7,0,11,0,ABS,ABS,ABS,ABS,VERB,PUNCT,CONJ,PRON,0,1,1,0,1,1,1,0,9,0,nsubj,0,0,NOMANAPH
20,46,7,5,6,0,PUNCT,VERB,CONJ,VERB,PUNCT,CONJ,VERB,DET,0,1,1,1,1,1,1,0,5,0,dobj,0,0,NOMANAPH
1,7,1,0,1,0,ABS,ABS,ABS,ABS,VERB,VERB,VERB,ADP,0,1,0,0,1,0,0,0,3,0,nsubjpass,0,0,NOMANAPH
1,6,1,0,0,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,VERB,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
2,12,3,0,1,0,ABS,ABS,ABS,PUNCT,VERB,VERB,ADV,VERB,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
9,12,3,1,0,0,ADV,VERB,PUNCT,VERB,ADV,ADV,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,parataxis,0,0,NOMANAPH
2,8,2,0,0,0,ABS,ABS,ABS,PUNCT,VERB,ADP,VERB,VERB,0,1,0,0,1,0,0,3,1,0,nsubj,0,0,NOMANAPH
1,13,2,0,3,0,ABS,ABS,ABS,ABS,VERB,DET,PROPN,PUNCT,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
6,13,2,2,1,0,VERB,DET,PROPN,PUNCT,VERB,VERB,ADV,VERB,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
